ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCLHTPO23N000000592,장소,유적지,8269393,동구릉,,,60603,유명사적/유적지,4131010300100660001,경기도,구리시,인창동,,66-1,4131010300,4131052000,,,,127.131711248127,37.6208762231096,다사674580,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000593,장소,유적지,8269395,동굴유적지,,,60603,유명사적/유적지,5013011900000000000,제주특별자치도,서귀포시,색달동,,,5013011900,5013062000,,,,126.400310784944,33.2416175995233,나나975727,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000594,장소,유적지,8269396,동래읍성지,,,60603,유명사적/유적지,2626010500200020002,부산광역시,동래구,복천동,,산2-2,2626010500,2626052000,,,,129.090710418476,35.210529904584,마라447917,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000595,장소,유적지,8269398,동해신묘,,,60603,유명사적/유적지,5183025029104340055,강원특별자치도,양양군,양양읍,조산리,434-55,5183025029,5183025000,,,,128.637643348303,38.1096061809122,라아997127,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000596,장소,유적지,8269400,석조삼존불상,,,60603,유명사적/유적지,4155040024100530015,경기도,안성시,죽산면,두현리,53-15,4155040024,4155040000,,,,127.412231994058,37.0743756743304,다바921973,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000597,장소,유적지,8269402,둔산선사유적지,,,60603,유명사적/유적지,3017011300102810000,대전광역시,서구,월평동,,281,3017011300,3017058700,301704298182,대덕대로317번길,9,127.378374722061,36.3605882170598,다바890181,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000598,장소,유적지,8269403,둔토리성지,,,60603,유명사적/유적지,4113111600000000000,경기도,성남시 수정구,금토동,,,4113111600,4113165000,,,,127.05997699395,37.4008229131528,다사610336,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000599,장소,유적지,8269404,마원성지,,,60603,유명사적/유적지,4728025026106850004,경상북도,문경시,문경읍,마원리,685-4,4728025026,4728025000,472804736499,오서길,73,128.101193109514,36.7238421844082,라바536585,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000600,장소,유적지,8269406,만복사지,,,60603,유명사적/유적지,4519010800104940009,전라북도,남원시,왕정동,,494-9,4519010800,4519056000,,,,127.367681947803,35.4068923076338,다마879123,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000601,장소,유적지,8269408,만휴정,,,60603,유명사적/유적지,4717039028110810000,경상북도,안동시,길안면,묵계리,1081,4717039028,4717039000,471704721409,묵계하리길,42,128.909850835244,36.4104501289165,마바264245,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000602,장소,유적지,8269409,망원정,,,60603,유명사적/유적지,1144012200104570001,서울특별시,마포구,합정동,,457-1,1144012200,1144068000,114404139132,동교로8안길,23,126.904503145402,37.5498431105075,다사473502,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000603,장소,유적지,8269411,망진산봉수대,,,60603,유명사적/유적지,4817010100200220004,경상남도,진주시,망경동,,산22-4,4817010100,4817051500,,,,128.076045215154,35.1770087040684,라라524870,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000604,장소,유적지,8269412,매산리석불입상,,,60603,유명사적/유적지,4155040021103330000,경기도,안성시,죽산면,죽산리,333,4155040021,4155040000,415504424600,죽산향교길,50-7,127.425059124088,37.0799164642559,다바933979,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000605,장소,유적지,8269414,명안공주묘,,,60603,유명사적/유적지,4127111200200480000,경기도,안산시 상록구,사사동,,산48,4127111200,4127160000,412714370086,대촌길,12-3,126.921924085359,37.2984450154896,다사487223,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000606,장소,유적지,8269415,명월진성,,,60603,유명사적/유적지,5011025027121620000,제주특별자치도,제주시,한림읍,명월리,2162,5011025027,5011025000,,,,126.260767089883,33.4001954349255,나나847905,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000607,장소,유적지,8269416,모충사,,,60603,유명사적/유적지,5011010700104260000,제주특별자치도,제주시,건입동,,426,5011010700,5011059000,,,,126.545858581091,33.51643797125,다다113031,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000608,장소,유적지,8269417,목은유적지,,,60603,유명사적/유적지,4777036031103410000,경상북도,영덕군,영해면,괴시리,341,4777036031,4777036000,,,,129.419031280949,36.5430944055558,마바717400,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000609,장소,유적지,8269419,몽촌토성,,,60603,유명사적/유적지,1171011100100880003,서울특별시,송파구,방이동,,88-3,1171011100,1171056600,,,,127.121531753092,37.5204823910723,다사665468,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000610,장소,유적지,8269420,이충무공유적,,,60603,유명사적/유적지,4689033030106990000,전라남도,완도군,고금면,덕동리,699,4689033030,4689033000,468904854447,충무사길,86-23,126.860279450179,34.4011353137968,다라412010,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000611,장소,유적지,8269421,묘재성지,,,60603,유명사적/유적지,4315025027103090002,충청북도,제천시,봉양읍,학산리,309-2,4315025027,4315025000,,,,128.100867877066,37.186667338926,라사533099,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000612,장소,유적지,8269422,무농정지,,,60603,유명사적/유적지,4311112400117050000,충청북도,청주시 상당구,용암동,,1705,4311112400,4311173000,431113236065,단재로,273,127.502107815274,36.6053163566278,라바001452,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000613,장소,유적지,8269424,무령왕릉,,,60603,유명사적/유적지,4415010800101400007,충청남도,공주시,금성동,,140-7,4415010800,4415054000,,,,127.11410969882,36.4624597422306,다바654294,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000614,장소,유적지,8269426,무태돈대,,,60603,유명사적/유적지,2871037027201510002,인천광역시,강화군,하점면,창후리,산151-2,2871037027,2871037000,,,,126.355076541972,37.771582216001,나사991752,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000615,장소,유적지,8269428,경주문무대왕릉,,,60602,왕릉/고분,4713031528100300001,경상북도,경주시,문무대왕면,봉길리,30-1,4713031528,4713031500,,,,129.486865248906,35.7381337056117,마마796509,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000616,장소,유적지,8269434,미륵사지,,,60603,유명사적/유적지,4514040026105640000,전라북도,익산시,금마면,기양리,564,4514040026,4514040000,,,,127.030961249872,36.0116611804943,다마577795,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000617,장소,유적지,8269435,미리내성지,,,60603,유명사적/유적지,4155036032100720000,경기도,안성시,양성면,미산리,72,4155036032,4155036000,,,,127.258839850085,37.1425348449242,다사785048,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000618,장소,유적지,8269437,박빅토리노묘,,,60603,유명사적/유적지,5172037021100810005,강원특별자치도,홍천군,서면,반곡리,81-5,5172037021,5172037000,,,,127.674753855168,37.6947303988459,라사154661,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000619,장소,유적지,8269439,박재상유적지,,,60603,유명사적/유적지,3171036021100700000,울산광역시,울주군,두동면,만화리,70,3171036021,3171036000,317104320026,치술령길,7,129.230277957428,35.6545143095234,마마566411,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000620,장소,유적지,8269440,유형원유적지,,,60603,유명사적/유적지,4580035024201280005,전라북도,부안군,보안면,우동리,산128-5,4580035024,4580035000,458003280029,반계로,97-68,126.630589703652,35.6195624322004,다마212362,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000621,장소,유적지,8269441,반구정,,,60603,유명사적/유적지,4148025026102120001,경기도,파주시,문산읍,사목리,212-1,4148025026,4148025000,,,,126.75248276529,37.8679145256855,다사342856,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000622,장소,유적지,8269444,방대형고분,,,60603,유명사적/유적지,4682036023102910000,전라남도,해남군,북일면,신월리,291,4682036023,4682036000,,,,126.679611345891,34.4591192746956,다라246075,20240104,KT,KC_507_LLR_HISTST_2023,20231220
